"NFGOVCOFOG_FUNCTION","Overheidsfunctie","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutionele sector","FREQUENCY","Frequentie","TIME","Periode","Value","Flag Codes","Flags"
"TOT","Totaal","D1","Beloning van werknemers (D.1)","S1311","Federale overheid","A","Jaarlijks","2017","2017",9449.6,,
"TOT","Totaal","D1","Beloning van werknemers (D.1)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",25454.1,,
"TOT","Totaal","D1","Beloning van werknemers (D.1)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",17439.5,,
"TOT","Totaal","D1","Beloning van werknemers (D.1)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",1628,,
"TOT","Totaal","D3","Subsidies (D.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",14689.8,,
"TOT","Totaal","D3","Subsidies (D.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",4518.4,,
"TOT","Totaal","D3","Subsidies (D.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",7541.9,,
"TOT","Totaal","D3","Subsidies (D.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",657.9,,
"TOT","Totaal","D3","Subsidies (D.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",1971.6,,
"TOT","Totaal","D4","Te betalen inkomen uit vermogen (D.4)","S1300","Totale overheid","A","Jaarlijks","2017","2017",10870.4,,
"TOT","Totaal","D4","Te betalen inkomen uit vermogen (D.4)","S1311","Federale overheid","A","Jaarlijks","2017","2017",9545.8,,
"TOT","Totaal","D4","Te betalen inkomen uit vermogen (D.4)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",1316.1,,
"TOT","Totaal","D4","Te betalen inkomen uit vermogen (D.4)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",336.3,,
"TOT","Totaal","D4","Te betalen inkomen uit vermogen (D.4)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",11,,
"TOT","Totaal","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1300","Totale overheid","A","Jaarlijks","2017","2017",109940.8,,
"TOT","Totaal","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1311","Federale overheid","A","Jaarlijks","2017","2017",5658.9,,
"TOT","Totaal","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",22228,,
"TOT","Totaal","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",3309.9,,
"TOT","Totaal","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",78744,,
"TOT","Totaal","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1300","Totale overheid","A","Jaarlijks","2017","2017",17582.4,,
"TOT","Totaal","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1311","Federale overheid","A","Jaarlijks","2017","2017",3083,,
"TOT","Totaal","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",8439.9,,
"TOT","Totaal","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1313","Lagere overheid","A","Jaarlijks","2017","2017",5055.3,,
"TOT","Totaal","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",1004.3,,
"TOT","Totaal","D7","Betaalde inkomensoverdrachten (D.7)","S1300","Totale overheid","A","Jaarlijks","2017","2017",7901.6,,
"TOT","Totaal","D7","Betaalde inkomensoverdrachten (D.7)","S1311","Federale overheid","A","Jaarlijks","2017","2017",81743.7,,
"TOT","Totaal","D7","Betaalde inkomensoverdrachten (D.7)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",11970.6,,
"TOT","Totaal","D7","Betaalde inkomensoverdrachten (D.7)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",1094.4,,
"TOT","Totaal","D7","Betaalde inkomensoverdrachten (D.7)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",10444,,
"TOT","Totaal","D9","Betaalde kapitaaloverdrachten (D.9)","S1300","Totale overheid","A","Jaarlijks","2017","2017",4130.5,,
"TOT","Totaal","D9","Betaalde kapitaaloverdrachten (D.9)","S1311","Federale overheid","A","Jaarlijks","2017","2017",2099.8,,
"TOT","Totaal","D9","Betaalde kapitaaloverdrachten (D.9)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",2551.6,,
"TOT","Totaal","D9","Betaalde kapitaaloverdrachten (D.9)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",284.5,,
"TOT","Totaal","D9","Betaalde kapitaaloverdrachten (D.9)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",59.4,,
"TOT","Totaal","P3","Consumptieve bestedingen (P.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",102200.8,,
"TOT","Totaal","P3","Consumptieve bestedingen (P.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",11864.2,,
"TOT","Totaal","P3","Consumptieve bestedingen (P.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",40772.8,,
"TOT","Totaal","P3","Consumptieve bestedingen (P.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",21051.6,,
"TOT","Totaal","P3","Consumptieve bestedingen (P.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",28512.2,,
"F01","01 Algemeen bestuur","TOT","Totale overheidsuitgaven","S1300","Totale overheid","A","Jaarlijks","2017","2017",31816.9,,
"F01","01 Algemeen bestuur","TOT","Totale overheidsuitgaven","S1311","Federale overheid","A","Jaarlijks","2017","2017",80423.6,,
"F01","01 Algemeen bestuur","TOT","Totale overheidsuitgaven","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",14194.6,,
"F01","01 Algemeen bestuur","TOT","Totale overheidsuitgaven","S1313","Lagere overheid","A","Jaarlijks","2017","2017",5764.5,,
"F01","01 Algemeen bestuur","TOT","Totale overheidsuitgaven","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",48.7,,
"F01","01 Algemeen bestuur","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1300","Totale overheid","A","Jaarlijks","2017","2017",3132.5,,
"F01","01 Algemeen bestuur","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1311","Federale overheid","A","Jaarlijks","2017","2017",632.3,,
"F01","01 Algemeen bestuur","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",2177.1,,
"F01","01 Algemeen bestuur","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",307.9,,
"F01","01 Algemeen bestuur","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",15.1,,
"F01","01 Algemeen bestuur","D1","Beloning van werknemers (D.1)","S1300","Totale overheid","A","Jaarlijks","2017","2017",8833.8,,
"F01","01 Algemeen bestuur","D1","Beloning van werknemers (D.1)","S1311","Federale overheid","A","Jaarlijks","2017","2017",2480,,
"F01","01 Algemeen bestuur","D1","Beloning van werknemers (D.1)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",3118.4,,
"F01","01 Algemeen bestuur","D1","Beloning van werknemers (D.1)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",3235.4,,
"F01","01 Algemeen bestuur","D1","Beloning van werknemers (D.1)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D3","Subsidies (D.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D3","Subsidies (D.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D3","Subsidies (D.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D3","Subsidies (D.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D3","Subsidies (D.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D4","Te betalen inkomen uit vermogen (D.4)","S1300","Totale overheid","A","Jaarlijks","2017","2017",10870.4,,
"F01","01 Algemeen bestuur","D4","Te betalen inkomen uit vermogen (D.4)","S1311","Federale overheid","A","Jaarlijks","2017","2017",9545.8,,
"F01","01 Algemeen bestuur","D4","Te betalen inkomen uit vermogen (D.4)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",1316.1,,
"F01","01 Algemeen bestuur","D4","Te betalen inkomen uit vermogen (D.4)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",336.3,,
"F01","01 Algemeen bestuur","D4","Te betalen inkomen uit vermogen (D.4)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",11,,
"F01","01 Algemeen bestuur","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1300","Totale overheid","A","Jaarlijks","2017","2017",4221.4,,
"F01","01 Algemeen bestuur","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1311","Federale overheid","A","Jaarlijks","2017","2017",1090.4,,
"F01","01 Algemeen bestuur","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",1763.4,,
"F01","01 Algemeen bestuur","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1313","Lagere overheid","A","Jaarlijks","2017","2017",1364,,
"F01","01 Algemeen bestuur","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",3.6,,
"F01","01 Algemeen bestuur","D7","Betaalde inkomensoverdrachten (D.7)","S1300","Totale overheid","A","Jaarlijks","2017","2017",4221.9,,
"F01","01 Algemeen bestuur","D7","Betaalde inkomensoverdrachten (D.7)","S1311","Federale overheid","A","Jaarlijks","2017","2017",66261.3,,
"F01","01 Algemeen bestuur","D7","Betaalde inkomensoverdrachten (D.7)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",5482.6,,
"F01","01 Algemeen bestuur","D7","Betaalde inkomensoverdrachten (D.7)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",419.5,,
"F01","01 Algemeen bestuur","D7","Betaalde inkomensoverdrachten (D.7)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",19.1,,
"F01","01 Algemeen bestuur","D9","Betaalde kapitaaloverdrachten (D.9)","S1300","Totale overheid","A","Jaarlijks","2017","2017",536.9,,
"F01","01 Algemeen bestuur","D9","Betaalde kapitaaloverdrachten (D.9)","S1311","Federale overheid","A","Jaarlijks","2017","2017",413.8,,
"F01","01 Algemeen bestuur","D9","Betaalde kapitaaloverdrachten (D.9)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",336.8,,
"F01","01 Algemeen bestuur","D9","Betaalde kapitaaloverdrachten (D.9)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",101.4,,
"F01","01 Algemeen bestuur","D9","Betaalde kapitaaloverdrachten (D.9)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01","01 Algemeen bestuur","P3","Consumptieve bestedingen (P.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",9903.7,,
"F01","01 Algemeen bestuur","P3","Consumptieve bestedingen (P.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",2288.9,,
"F01","01 Algemeen bestuur","P3","Consumptieve bestedingen (P.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",2359,,
"F01","01 Algemeen bestuur","P3","Consumptieve bestedingen (P.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",5252.1,,
"F01","01 Algemeen bestuur","P3","Consumptieve bestedingen (P.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",3.6,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","TOT","Totale overheidsuitgaven","S1300","Totale overheid","A","Jaarlijks","2017","2017",9400.3,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","TOT","Totale overheidsuitgaven","S1311","Federale overheid","A","Jaarlijks","2017","2017",6102.8,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","TOT","Totale overheidsuitgaven","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",879.1,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","TOT","Totale overheidsuitgaven","S1313","Lagere overheid","A","Jaarlijks","2017","2017",2414.4,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","TOT","Totale overheidsuitgaven","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",19.1,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1300","Totale overheid","A","Jaarlijks","2017","2017",452.2,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1311","Federale overheid","A","Jaarlijks","2017","2017",374.6,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",25.9,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",51.7,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P5_K2","Bruto-investeringen en saldo aan- en verkopen van niet-financiële niet-geproduceerde activa (OP.5ANP)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D1","Beloning van werknemers (D.1)","S1300","Totale overheid","A","Jaarlijks","2017","2017",4259.3,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D1","Beloning van werknemers (D.1)","S1311","Federale overheid","A","Jaarlijks","2017","2017",2059.1,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D1","Beloning van werknemers (D.1)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",420.3,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D1","Beloning van werknemers (D.1)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",1779.9,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D1","Beloning van werknemers (D.1)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D3","Subsidies (D.3)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D3","Subsidies (D.3)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D3","Subsidies (D.3)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D3","Subsidies (D.3)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D3","Subsidies (D.3)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D4","Te betalen inkomen uit vermogen (D.4)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D4","Te betalen inkomen uit vermogen (D.4)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D4","Te betalen inkomen uit vermogen (D.4)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D4","Te betalen inkomen uit vermogen (D.4)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D4","Te betalen inkomen uit vermogen (D.4)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1300","Totale overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1311","Federale overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D62_D6311_D63121_D63131","Betaalde sociale uitkeringen (exclusief sociale overdrachten in natura) en sociale overdrachten in natura — aangekochte marktproducten (D.6M)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1300","Totale overheid","A","Jaarlijks","2017","2017",1172.8,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1311","Federale overheid","A","Jaarlijks","2017","2017",349.6,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",305.7,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1313","Lagere overheid","A","Jaarlijks","2017","2017",517.5,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","P2_D29_D5_D8","Intermediair verbruik en betaalde niet-productgebonden belastingen op productie + lopende belastingen op inkomen, vermogen enz. + Correctie voor mutaties in pensioenrechten","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",0,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D7","Betaalde inkomensoverdrachten (D.7)","S1300","Totale overheid","A","Jaarlijks","2017","2017",3280.6,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D7","Betaalde inkomensoverdrachten (D.7)","S1311","Federale overheid","A","Jaarlijks","2017","2017",3165.2,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D7","Betaalde inkomensoverdrachten (D.7)","S1312","Gemeenschappen en gewesten","A","Jaarlijks","2017","2017",81.6,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D7","Betaalde inkomensoverdrachten (D.7)","S1313","Lagere overheid","A","Jaarlijks","2017","2017",29.8,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D7","Betaalde inkomensoverdrachten (D.7)","S1314","Wettelijke sociale-verzekeringsinstellingen","A","Jaarlijks","2017","2017",19.1,,
"F01_1","01.1 Wetgevende en uitvoerende organen, financiële en fiscale zaken, buitenlandse zaken","D9","Betaalde kapitaaloverdrachten (D.9)","S1300","Totale overheid","A","Jaarlijks","2017","2017",235.4,,
