"NFGOVCOFOG_FUNCTION","Government function","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutional sector","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2016","2016",10574.4,,
"TOT","Total","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2016","2016",1418.3,,
"TOT","Total","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2016","2016",418.3,,
"TOT","Total","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2016","2016",22.7,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2016","2016",106584.5,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2016","2016",5440.4,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2016","2016",21470.2,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2016","2016",3151.8,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2016","2016",76522.1,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2016","2016",16896.5,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2016","2016",3138.8,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2016","2016",7945.8,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2016","2016",4842.3,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2016","2016",969.6,,
"TOT","Total","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2016","2016",9167.7,,
"TOT","Total","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2016","2016",79711.1,,
"TOT","Total","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2016","2016",11611.3,,
"TOT","Total","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2016","2016",1023.7,,
"TOT","Total","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2016","2016",9948.6,,
"TOT","Total","D9","Capital transfers (D.9)","S1300","General government","A","Annual","2016","2016",4611.2,,
"TOT","Total","D9","Capital transfers (D.9)","S1311","Federal government","A","Annual","2016","2016",2460.4,,
"TOT","Total","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2016","2016",2606,,
"TOT","Total","D9","Capital transfers (D.9)","S1313","Local government","A","Annual","2016","2016",313.3,,
"TOT","Total","D9","Capital transfers (D.9)","S1314","Social security funds","A","Annual","2016","2016",88.6,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1300","General government","A","Annual","2016","2016",99375.9,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1311","Federal government","A","Annual","2016","2016",11824.9,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2016","2016",39348.8,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1313","Local government","A","Annual","2016","2016",20592,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1314","Social security funds","A","Annual","2016","2016",27610.2,,
"F01","01 General public services","TOT","Total government expenditure","S1300","General government","A","Annual","2016","2016",33945.1,,
"F01","01 General public services","TOT","Total government expenditure","S1311","Federal government","A","Annual","2016","2016",77406.6,,
"F01","01 General public services","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2016","2016",13542.4,,
"F01","01 General public services","TOT","Total government expenditure","S1313","Local government","A","Annual","2016","2016",5530.3,,
"F01","01 General public services","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2016","2016",47.1,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2016","2016",2887.2,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2016","2016",655.6,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2016","2016",2038.6,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2016","2016",186.3,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2016","2016",6.8,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2016","2016",8917.9,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2016","2016",2441.1,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2016","2016",3288.7,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2016","2016",3188,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1300","General government","A","Annual","2016","2016",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2016","2016",0,,
"F01","01 General public services","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01","01 General public services","D4","Property income paid (D.4)","S1300","General government","A","Annual","2016","2016",12075.5,,
"F01","01 General public services","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2016","2016",10574.4,,
"F01","01 General public services","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2016","2016",1418.3,,
"F01","01 General public services","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2016","2016",418.3,,
"F01","01 General public services","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2016","2016",22.7,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2016","2016",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2016","2016",0,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2016","2016",3938.1,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2016","2016",1174.3,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2016","2016",1508.2,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2016","2016",1255.6,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2016","2016",5412.4,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2016","2016",62174.4,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2016","2016",4780.2,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2016","2016",361.5,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2016","2016",17.6,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1300","General government","A","Annual","2016","2016",714.1,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1311","Federal government","A","Annual","2016","2016",386.8,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2016","2016",508.4,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1313","Local government","A","Annual","2016","2016",120.6,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1300","General government","A","Annual","2016","2016",10146.8,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1311","Federal government","A","Annual","2016","2016",2346.4,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2016","2016",2668.8,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1313","Local government","A","Annual","2016","2016",5131.6,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1300","General government","A","Annual","2016","2016",10815.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1311","Federal government","A","Annual","2016","2016",7396.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2016","2016",974.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1313","Local government","A","Annual","2016","2016",2427.8,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2016","2016",17.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2016","2016",549,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2016","2016",437.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2016","2016",28.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2016","2016",83,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2016","2016",4203.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2016","2016",2041.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2016","2016",395.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2016","2016",1766.4,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1300","General government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1300","General government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2016","2016",1259.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2016","2016",418.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2016","2016",324.4,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2016","2016",516.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2016","2016",4500.5,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2016","2016",4386.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2016","2016",70.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2016","2016",26.8,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2016","2016",17.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1300","General government","A","Annual","2016","2016",303.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1311","Federal government","A","Annual","2016","2016",113,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2016","2016",155.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1313","Local government","A","Annual","2016","2016",34.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1300","General government","A","Annual","2016","2016",4764,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1311","Federal government","A","Annual","2016","2016",2106.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2016","2016",718.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1313","Local government","A","Annual","2016","2016",1939.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1300","General government","A","Annual","2016","2016",1045.1,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1311","Federal government","A","Annual","2016","2016",988.6,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2016","2016",40.9,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1313","Local government","A","Annual","2016","2016",15.5,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2016","2016",1.3,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2016","2016",0.9,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2016","2016",0.4,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2016","2016",44.2,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2016","2016",33.8,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2016","2016",6.1,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2016","2016",4.3,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1300","General government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1300","General government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1300","General government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1311","Federal government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1313","Local government","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1300","General government","A","Annual","2016","2016",29.8,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1311","Federal government","A","Annual","2016","2016",14.8,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2016","2016",12.2,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1313","Local government","A","Annual","2016","2016",2.8,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1314","Social security funds","A","Annual","2016","2016",0,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1300","General government","A","Annual","2016","2016",731.6,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1311","Federal government","A","Annual","2016","2016",701.1,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2016","2016",22.2,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1313","Local government","A","Annual","2016","2016",8.2,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1314","Social security funds","A","Annual","2016","2016",0,,
